"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SLC35F6",0.00793705023783536,0.554410540771084,0.13,0.096,1,6,"SLC35F6"
"CCDC681",0.00419475122783233,0.554119938722527,0.144,0.107,1,6,"CCDC68"
"HTT",3.43437844145839e-10,0.553782533581857,0.223,0.123,7.29393293396933e-06,6,"HTT"
"SRSF11",0.00623793169533493,0.553625172912829,0.48,0.495,1,6,"SRSF11"
"KIFC31",7.79863133051275e-06,0.552097767040276,0.175,0.112,0.16562733219743,6,"KIFC3"
"TMEM87B",0.000639161366497413,0.551838469312082,0.206,0.153,1,6,"TMEM87B"
"AHCTF1",0.000470520665578618,0.551070844354589,0.232,0.179,1,6,"AHCTF1"
"TFPI1",8.87226540461124e-07,0.55071873567388,0.212,0.136,0.0188429172663133,6,"TFPI"
"BSG2",0.00076808870842377,0.549837082663837,0.497,0.484,1,6,"BSG"
"INHBB1",2.30897972056942e-10,0.549605358917701,0.181,0.092,4.90381113054533e-06,6,"INHBB"
"ATF6",0.00332434323294419,0.549153812584644,0.195,0.154,1,6,"ATF6"
"OS92",0.00870585298820749,0.547716442799039,0.353,0.339,1,6,"OS9"
"CMPK21",0.00062119653306681,0.547471164109775,0.175,0.126,1,6,"CMPK2"
"VCL1",9.04039502934975e-05,0.546920632179363,0.237,0.176,1,6,"VCL"
"SH2D4A1",0.000404075430038136,0.546805294355015,0.155,0.108,1,6,"SH2D4A"
"SLC20A1",8.75378290434189e-05,0.546088772455106,0.243,0.176,1,6,"SLC20A1"
"HYOU11",0.000275546399136916,0.544251213604547,0.218,0.163,1,6,"HYOU1"
"ELMO31",7.21859942797793e-05,0.54339085346007,0.169,0.115,1,6,"ELMO3"
"AP1M21",0.000285547319116032,0.54319884203952,0.195,0.143,1,6,"AP1M2"
"AHI1",2.4853577047956e-08,0.54236487487752,0.144,0.072,0.00052784026934449,6,"AHI1"
"TJP21",1.60062170823627e-05,0.541749491474806,0.181,0.121,0.339940038395218,6,"TJP2"
"SMAD5",0.000801803203631122,0.541036249870043,0.169,0.121,1,6,"SMAD5"
"DCAF71",0.00356777647466558,0.539217255901369,0.325,0.283,1,6,"DCAF7"
"CPD",0.00301158223364883,0.538499354614881,0.175,0.133,1,6,"CPD"
"TCF7L22",0.00232768864847836,0.536740327757308,0.161,0.12,1,6,"TCF7L2"
"AP3D11",0.00242620226251948,0.536647793415021,0.268,0.227,1,6,"AP3D1"
"PPIB1",3.45469406695016e-06,0.535926013650569,0.692,0.727,0.0733707925938874,6,"PPIB"
"HLA-G1",7.71442749616282e-06,0.534962806120937,0.161,0.099,0.163839011163506,6,"HLA-G"
