,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
HNF1B,6.26457616059092E-65,0.614157532443298,0.289,0.031,1.34556831353332E-60,15,HNF1B
CMPK12,9.61075928854574E-15,0.613140884174277,0.69,0.374,2.06429498758674E-10,15,CMPK1
NUDC1,2.46059392239015E-12,0.613072414633246,0.57,0.314,5.2851096859018E-08,15,NUDC
NDUFB24,4.53860449432925E-14,0.612572679402927,0.796,0.56,9.74846859336979E-10,15,NDUFB2
MLLT42,3.04135527039258E-36,0.612136958676062,0.408,0.096,6.53252698527622E-32,15,MLLT4
KIAA1462,1.25476550146162E-151,0.61195944505516,0.218,0.007,2.69511082058941E-147,15,KIAA1462
SLC25A53,0.00277906798855862,0.611773638957073,0.704,0.586,1,15,SLC25A5
SHROOM33,4.56235345232163E-29,0.610850032298684,0.423,0.117,9.79947898024163E-25,15,SHROOM3
GBAS1,2.92100195365212E-18,0.610793259345425,0.437,0.166,6.27402009624939E-14,15,GBAS
KCNJ16,0,0.610649408899349,0.268,0.001,0,15,KCNJ16
DUT2,1.26046532684496E-14,0.610160538418624,0.62,0.319,2.70735347553029E-10,15,DUT
EPCAM6,7.1411760940198E-20,0.609320128323517,0.718,0.318,1.53385321323451E-15,15,EPCAM
SORT12,3.53882128317611E-25,0.608349887067242,0.366,0.101,7.60103423413396E-21,15,SORT1
DUSP32,2.87392890189069E-21,0.608074004943199,0.387,0.123,6.17291188837101E-17,15,DUSP3
MARCKSL13,7.88389750909045E-09,0.60741071145934,0.542,0.341,0.000169338234597754,15,MARCKSL1
COX7A22,1.8289384674463E-10,0.60706901600371,0.852,0.628,3.92837693422791E-06,15,COX7A2
PRDX24,2.81601747442031E-11,0.606977792870845,0.648,0.414,6.04852393330737E-07,15,PRDX2
C1R,3.10045729553817E-71,0.605300623031148,0.225,0.017,6.65947222508644E-67,15,C1R
ACADVL2,1.23335512742989E-13,0.605205199544961,0.585,0.317,2.64912347820666E-09,15,ACADVL
NUDT42,1.2546186710545E-10,0.604836951382283,0.43,0.215,2.69479544355796E-06,15,NUDT4
ERICH5,2.96131224658125E-146,0.604418206006983,0.331,0.017,6.36060257443187E-142,15,ERICH5
COX5A3,5.51243953236218E-07,0.604103221747604,0.725,0.541,0.0118401688715607,15,COX5A
FAM150B,0,0.602296706074003,0.218,0,0,15,FAM150B
TM7SF2,2.04648399450432E-20,0.600774685852809,0.289,0.081,4.39564297179584E-16,15,TM7SF2
CRYAB,2.85360950114073E-89,0.600743388685094,0.183,0.008,6.12926784750017E-85,15,CRYAB
SNX7,1.29517701691015E-53,0.599516433204212,0.317,0.044,2.78191071462132E-49,15,SNX7
AKAP7,8.21306215397701E-53,0.59649602136515,0.296,0.038,1.76408362005272E-48,15,AKAP7
AQP51,5.74924477005541E-05,0.595233115319189,0.155,0.07,1,15,AQP5
UQCR102,1.98831929277667E-12,0.595196509215782,0.81,0.623,4.270711008955E-08,15,UQCR10
PRDX33,5.28681702245403E-14,0.593766462432468,0.627,0.34,1.1355554282529E-09,15,PRDX3
CCDC47,2.51476267005887E-21,0.593675423745874,0.521,0.206,5.40145873901944E-17,15,CCDC47
HERPUD14,1.86715211911197E-08,0.588638897799667,0.62,0.409,0.000401045603664061,15,HERPUD1
C1S,3.53748150967273E-102,0.587744351023859,0.268,0.016,7.59815653462606E-98,15,C1S
NFIA,3.72752128426729E-36,0.586314332375758,0.359,0.076,8.00634296647771E-32,15,NFIA
HSD17B121,7.40695177010436E-17,0.58608620183158,0.451,0.187,1.59093917070072E-12,15,HSD17B12
ITGB14,3.53160844083043E-09,0.582809666187439,0.746,0.512,7.58554177005967E-05,15,ITGB1
NUCB21,2.31623564193173E-15,0.581671300956451,0.472,0.203,4.97504253530516E-11,15,NUCB2
MTUS12,6.58258224347355E-28,0.581538083729365,0.408,0.113,1.41387284007568E-23,15,MTUS1
TPD523,3.85604649668216E-16,0.579786344466013,0.437,0.176,8.2824022702236E-12,15,TPD52
ELF36,2.33740569663627E-21,0.578188235393167,0.838,0.353,5.02051369580505E-17,15,ELF3
TM9SF23,2.14032077873064E-10,0.57816749915052,0.542,0.296,4.59719500063554E-06,15,TM9SF2
HNMT6,3.15978805185614E-11,0.57810302898117,0.458,0.234,6.78690875658181E-07,15,HNMT
BCAM2,1.09517172840432E-34,0.577385743538526,0.359,0.078,2.35231935543965E-30,15,BCAM
S100A1,5.23943674902989E-43,0.576772327291623,0.12,0.008,1.12537861932413E-38,15,S100A1
TMED22,8.1724619883682E-15,0.576697552430421,0.69,0.368,1.7553631104816E-10,15,TMED2
HN13,0.000118222087005209,0.575151636182385,0.535,0.402,1,15,HN1
GGT1,6.59497975879259E-30,0.575073369186843,0.289,0.059,1.41653570239106E-25,15,GGT1
SRSF93,1.19073421882525E-12,0.57464231971259,0.711,0.418,2.55757802861475E-08,15,SRSF9
MGST34,1.4808849710642E-09,0.574549572815553,0.732,0.497,3.1807928293488E-05,15,MGST3
HINT12,1.99347191872923E-13,0.574277079819893,0.887,0.767,4.28177833423852E-09,15,HINT1
TSPAN36,3.73413961104236E-19,0.573772034627251,0.739,0.366,8.02055847055789E-15,15,TSPAN3
HSPA52,1.28063024047608E-08,0.567765107511301,0.725,0.47,0.000275066569351858,15,HSPA5
